rank,constellation,main_id,ra,dec,otype,plx_value,pmra,pmdec,rvz_radvel,rvz_type,sp_type,bmag,vmag,constellation_code
14,Capricornus,*  17 Cap,311.54161670263,-21.514036022269995,*,11.1349,22.22,-18.351,1.8,v,A1V,5.958,5.902,Cap
15,Capricornus,HD 202261,318.77757397027,-17.34517877786,*,8.4601,4.163,-19.319,-0.73,v,K0III,7.024,6.037,Cap
16,Capricornus,HD 200052,315.43866402762995,-26.88099818476,*,12.0521,19.328,-23.389,-5.06,v,A3V,6.101,6.037,Cap
17,Capricornus,*  21 Cap,315.21569071811,-17.5308952076,*,5.7326,-30.851,-16.774,1.1,v,K3III,7.32,6.05,Cap
18,Capricornus,HD 195006,307.38059105828995,-22.39156530107,*,5.1507,9.194,-30.619,55.5,v,K5III,7.693,6.126,Cap
19,Capricornus,HD 198208,312.3355955441,-18.03585624228,*,3.9982,1.313,-34.22,46.04,v,K3III,7.601,6.193,Cap
20,Capricornus,HD 193896,305.75329087324,-9.65471052279,*,5.3831,24.655,-16.439,-15.23,v,G5IIIa,7.194,6.283,Cap
1,Aquarius,* bet Aqr,322.88971698347876,-5.5711748280636115,*,5.9728,19.214,-8.163,6.451,v,G0Ib,3.71,2.89,Aqr
2,Aquarius,* alf Aqr,331.4459814409479,-0.3198509554241667,*,4.9451,18.59,-10.45,6.829,v,G2Ib,3.9,2.94,Aqr
3,Aquarius,* eps Aqr,311.9189565534167,-9.495776926900833,*,13.3619,33.923,-34.936,-19.82,v,B9.5V,3.77,3.77,Aqr
4,Aquarius,* tau Aqr,342.39792075111455,-13.592628543936945,*,10.0171,-13.386,-38.609,1.1,v,M0III,5.57,3.98,Aqr
5,Aquarius,* g Aqr,340.89680519415367,-18.83037508142056,*,7.9362,-32.523,-28.21,21.7,v,K3III,6.06,4.69,Aqr
6,Aquarius,* b03 Aqr,353.3192590454091,-20.914495039034996,*,13.0753,0.007,5.384,15.0,v,A0V,4.77,4.758,Aqr
7,Aquarius,* sig Aqr,337.66175584903,-10.6779180573,*,15.8247,-4.095,-38.019,11.7,v,A0IVs,4.73,4.81,Aqr
8,Aquarius,* 104 Aqr,355.44085990105,-17.81653194641,*,4.5743,14.332,0.679,6.52,v,G2Ib/II,5.65,4.83,Aqr
9,Aquarius,* psi03 Aqr,349.74031942223,-9.61074871262,*,14.1132,44.346,-7.951,-10.0,v,B9V,4.977,5.003,Aqr
10,Aquarius,* i01 Aqr,356.05032542615,-18.27694956298,*,7.5902,28.825,-2.064,16.0,v,B9V,5.152,5.239,Aqr
11,Aquarius,HD 222643,355.61592693594,-15.448028948530002,*,4.3874,14.608,-21.282,0.37,v,K3III,6.606,5.257,Aqr
12,Aquarius,*  42 Aqr,334.2001908858799,-12.831432882360001,*,7.4283,3.567,6.028,11.62,v,K1III,6.463,5.333,Aqr
13,Aquarius,* e Aqr,332.65617743047704,-11.564938650259169,*,6.3394,29.119,8.73,-1.7,v,B5III,5.299,5.422,Aqr
14,Aquarius,*   7 Aqr,314.22511066351996,-9.697541798980001,*,5.0316,-5.86,-10.92,-31.68,v,K4III,6.97,5.48,Aqr
15,Aquarius,*  30 Aqr,330.81857563765,-6.522407351809999,*,10.7574,45.517,8.126,39.74,v,K1IV,6.512,5.543,Aqr
16,Aquarius,HD 219402,348.89273927162,-3.4963784075700004,*,13.435,-12.906,-2.299,13.78,v,A2V,5.61,5.55,Aqr
17,Aquarius,*   5 Aqr,313.03622430074995,-5.507058186369999,*,4.1831,1.271,-5.828,0.1,v,B9III,5.46,5.554,Aqr
18,Aquarius,*  28 Aqr,330.27089693754,0.6047180014000001,*,5.3825,6.765,-10.993,8.47243,v,K2III,6.887,5.597,Aqr
19,Aquarius,*  26 Aqr,325.54213555265,1.28525415301,*,3.098,-3.918,-8.35,8.15,v,K2(III),7.102,5.641,Aqr
20,Aquarius,HD 222093,354.41483333436,-13.06024123397,*,11.0119,34.875,26.451,-12.56,v,G9III,6.685,5.654,Aqr
1,Pisces,*  22 Psc,357.99099528799997,2.9303864325699998,*,3.7846,15.881,-14.136,4.46498,v,K4IIIBa1,7.108,5.554,Psc
2,Pisces,*  21 Psc,357.36447579926,1.0761290253600002,*,10.6384,-2.788,-27.4,6.29,v,A3III,5.93,5.7,Psc
3,Pisces,HD 222602,355.48620748213,7.25054859607,*,10.5925,-27.486,-40.251,3.38,v,A3Vn,5.985,5.891,Psc
4,Pisces,*   1 Psc,343.74785584463,1.0649026686499998,*,9.071,19.283,4.642,12.8,v,A3IV,6.31,6.11,Psc
5,Pisces,*  26 Psc,358.78246934079,7.0709711448,*,8.2263,23.164,-18.51,16.8,v,B9V,6.153,6.209,Psc
6,Pisces,*  25 Psc,358.26983655555,2.0906162722000006,*,7.8606,16.707,-9.801,7.11,v,B9.5V,6.275,6.28,Psc
7,Pisces,*  11 Psc,352.36244551118995,-1.7912139678800003,*,3.2162,-14.757,-22.461,11.92,v,K0III,7.48,6.34,Psc
8,Pisces,*  13 Psc,352.98986168987,-1.08589568993,*,4.4107,8.695,17.164,-22.5,v,K0III,7.584,6.384,Psc
9,Pisces,HD 218103,346.32347108324,1.30712681701,*,8.5375,34.593,-21.432,-9.34956,v,G8/K0III/IV,7.338,6.388,Psc
10,Pisces,HD 217926,346.00324786657,6.616340803180001,*,12.3319,-26.73,8.26,4.0,v,F2V,6.816,6.417,Psc
11,Pisces,HD 223346,357.20569216879,2.2144148291600003,*,17.4405,9.646,-34.672,-17.96,v,F5V,6.91,6.457,Psc
12,Pisces,HD 216931,344.27857223378,-3.24521759809,*,9.3141,28.555,14.65,13.55,v,A1/2III,6.834,6.619,Psc
13,Pisces,HD 216400,343.13697643051,3.55223244167,*,5.7324,11.607,-2.541,,,A2/3IV,6.79,6.64,Psc
14,Pisces,HD 220796,351.68185839277,2.4783731086800005,*,6.4629,-7.497,17.727,3.07,v,K0III,7.82,6.72,Psc
15,Pisces,HD 220512,351.0686096842671,3.7155166022194446,*,4.223,-3.186,-26.535,-12.42,v,K1III/IV,8.01,6.72,Psc
16,Pisces,HD 223707,357.97322817409,4.745362569809999,*,5.7056,18.559,5.947,9.6,v,A1IV/V,6.88,6.78,Psc
17,Pisces,HD 223685,357.91742835785993,4.697901095050001,*,3.2556,-34.273,25.654,14.12,v,K4III,8.3,6.8,Psc
18,Pisces,HD 216565,343.46732369084,1.8431507698599996,*,2.9388,16.032,-12.801,1.31,v,K4III,8.44,6.8,Psc
19,Pisces,HD 222919,356.20394024474,7.191808063619999,*,7.2504,20.536,-10.433,-17.196699,v,K0,7.96,6.87,Psc
20,Pisces,HD 223292,357.06020335293,7.16318645311,*,6.1944,-21.714,-31.251,-19.1712,v,G5,7.89,6.89,Psc
